verse_no,verse
6:13:,"Holding the body, head, and neck erect, im-movably steady, looking fixedly at the point of the nose, with unseeing gaze,"
6:14:,"The self serene, fearless, firm in the vow of the Brahmacharî, the mind controlled, thinking on Me, harmonised, let him sit aspiring after Me."
6:15:,"The Yogî ever united thus with the SELF, with the mind controlled, goeth to Peace, to the supreme Bliss that abideth in Me."
6:16:,"Verily yoga is not for him who eateth too much, nor who abstaineth to excess, nor who is too much addicted to sleep, nor even to wakeful-ness, O Arjuna."
6:17:,"Yoga killeth out all pain for him who is regulated in eating and amusement, regulated in performing actions, regulated in sleeping and waking."
6:18:,"When his subdued thought is fixed on the SELF, free from longing after all desirable things, then it is said, ""he is harmonised."""
6:19:,"As a lamp in a windless place flickereth not, to such is likened the Yogî of subdued thought, absorbed in the yoga of the SELF."
6:20:,"That in which the mind finds rest, quieted by the practice of yoga: that in which he, seeing the SELF by the SELF, in the SELF is satisfied;"
6:21:,"That in which he findeth the supreme delight which the Reason can grasp beyond the senses, wherein established he moveth not from the Reality;"
6:22:,"Which, having obtained, he thinketh there is no greater gain beyond it; wherein, established, he is not shaken even by heavy sorrow;"
6:23:," That should be known by the name of yoga, this disconnection from the union with pain. This yoga must be clung to with a firm convic-tion and with undesponding mind."
6:24:,"Abandoning without reserve all desires born of the imagination, by the mind curbing in the aggregate of the senses on every side,"
6:25:,"Little by little let him gain tranquillity, by means of Reason controlled by steadiness; having made the mind abide in the SELF, let him not think of anything."
6:26:,"As often as the wavering and unsteady mind goeth forth, so often reining it in, let him bring it under the control of the SELF."
6:27:,"Supreme joy is for this Yogî whose mind is peaceful, whose passion-nature is calmed, who is sinless and of the nature of the ETERNAL."
6:28:,"The Yogî who thus, ever harmonising the self, hath put away sin, he easily enjoyeth the infinite bliss of contact with the ETERNAL."
6:29:,"The self, harmonised by yoga, seeth the SELF abiding in all beings, all beings in the SELF; everywhere he seeth the same."
6:30:," He who seeth Me everywhere, and seeth every-thing in Me, of him will I never lose hold, and he shall never lose hold of Me."
6:31:,"He who, established in unity, worshippeth Me, abiding in all beings, that Yogî liveth in Me, whatever his mode of living."
6:32:,"He who, through the likeness of the SELF O Arjuna, seeth equality in everthing, whether pleasant or painful, he is considered a perfect Yogi."
6:33:,"Arjuna said: This yoga which Thou hast declared to be by equanimity, O Madhusudana. I see not a stable foundation for it, owing to restlessness;"
6:34:,"For the mind is verily, restless, O Krishna; it is impetuous, strong and difficult to bend. I deem it as hard to curb as the wind."
6:35:,"The Blessed Lord said: Without doubt, O mighty-armed, the mind is hard to curb and restless; but it may be curbed by constant practice and by dispassion."
6:36:,"Yoga is hard to attain, methinks, by a self that is uncontrolled; but by the SELF-controlled it is attainable by properly directed energy."
6:37:,"Arjuna said: He who is unsubdued but who possesseth faith, with the mind wandering away from yoga, fail-ing to attain perfection in yoga, what path doth he tread, O Krishna?"
6:38:,"Fallen from both, is he destroyed like a rent cloud, unsteadfast, O mighty-armed, deluded in the path of the ETERNAL?"
6:39:,"Deign, O Krishna, to completely dispel this doubt of mine; for there is none to be found save Thyself able to destroy this doubt."
6:40:,"The Blessed Lord said: O son of Pritha, neither in this world nor in the life to come is there destruction for him; never doth any who worketh righteousness, O beloved, tread the path of woe."
6:41:,"Having attained to the worlds of the pure-doing, and having dwelt there for immemorial years, he who fell frona yoga is reborn in a pure and bless-ed house;"
6:42:,Or he may even be born into a family of wise Yogîs; but such a birth as that is most difficult to obtain in this world.
6:43:,"There he recovereth the characteristics belonging to his former body, and with these again laboureth for perfection, O joy of the Kurus! "
6:44:,"By that former practice he is irresistibly swept away. Only wishing to know Yoga, even the seeker after Yoga goeth beyond the Brahmic word, "
6:45:,"But the Yogî, labouring with assiduity, purified from sin, fully perfected through manifold births, he reacheth the supreme goal. "
6:46:,"The Yogî is greater than the ascetics; he is thought to be greater than even the wise; the Yogî is greater than the men of action; therefore become thou a Yogî, O Arjuna! "
6:47:,"And among all Yogîs, he who full of faith, with the inner SELF abiding in Me, adoreth Me, he is considered by Me to be the most completely harmonised. "
7:1:,"With Manas clinging to Me, O Pârtha performing Yoga, refuged in Me, how thou shalt without doubt know Me to the uttermost, that hear thou. "
7:2:,"I will declare to thee this knowledge and wisdom in its completeness, which, having known, there is nothing more here remaineth to be known. "
7:3:,Among thousands of men scarce one striveth for perfection; of the successful strivers scarce one knoweth Me in essence.
7:4:,"Earth, water, fire, air, ether, Manas and Buddhi also and Ahankara-these are the eightfold division of My Prakriti- "
7:5:,"This the inferior. Know My other Prakriti, the higher, the life-element, O mighty-armed, by which the universe is upheld. "
7:6:,Know this to be the womb of all beings. I am the source of the forthgoing of the whole universe and likewise the place of its dissolving.
7:7:,"There is naught whatsoever higher than I, O Dhananjaya. All this is threaded on Me, as rows of pearls on a string."
7:8:,"I the sapidity in waters, O son of Kuntî, I the radiance in moon and sun; the Word of Power in all the Vedas, sound in ether, and virility in men;"
7:9:,"The pure fragrance of earths and the brilliance in fire am I; the life in all beings am I, and the austerity in ascetics."
7:10:,"Know Me, O Pârtha! as the eternal seed of all beings. I am the Reason of the Reason-endowed, the splendour of splendid things am I."
7:11:,"And I the strength of the strong, devoid of desire and passion. In beings I am desire not contrary to duty, O Lord of the Bharatas."
7:12:,"The natures that are harmonious, active, slothful, these know as from Me; not I in them, but they in Me."
7:13:,"All this world, deluded by these natures made by the three qualities, knoweth not Me, above these, imperishable."
7:14:,"This divine illusion of Mine, caused by the qualities, is hard to pierce; they who come to Me, they cross over this illusion."
7:15:,"The evil-doing, the deluded, the vilest men, they come not to Me, they whose wisdom is destroyed by illusion, who have embraced the nature of demons."
7:16:,"Fourfold in division are the righteous ones who worship me, O Arjuna the suffering, the seeker for knowledge, the self-interested and the wise, O Lord of the Bharatas."
7:17:,"Of these the wise constantly harmonised, worshipping the One, is the best; I am supremely dear to the wise, and he is dear to Me."
7:18:,"Noble are all these, but I hold the wise as verily Myself he, SELF-united, is fixed on Me, the highest Path."
7:19:,"At the close of many births the man full of wisdom cometh unto Me; ""Vasudeva is all,"" saith he, the Mahatmâ, very difficult to find."
7:20:,"They whose wisdom hath been rent away by desires go forth to other Shining Ones, resorting to various external observances, according to their own natures."
7:21:,"Any devotee who seeketh to worship with faith any such aspect, I verily bestow the unswerving faith of that man."
7:22:,"He endowed with that faith, seeketh the worship of such a one, and from him he obtaineth his desires, I verily decreeing the benefits;"
7:23:,"Finite indeed the fruit, that belongeth to those who are of small intelligence. To the Shining Ones go the worshippers of the Shining Ones, but my devotees come unto Me."
7:24:,"Those devoid of Reason think of Me, the unmanifest, as having manifestation, knowing not My supreme nature, imperishable, most excellent."
7:25:,"Nor am I of all discovered, enveloped in My creation-illusion. This deluded world knoweth Me not, the unborn, the imperishable."
7:26:,"I know the beings that are past, that are present, that are to come, O Arjuna, but no one knoweth Me."
7:27:,"By the delusion of the pairs of opposites, sprung from attraction and repulsion, O Bharata, all beings walk this universe wholly deluded, O Parantapa."
7:28:,"But those men of pure deeds, in whom sin is come to an end, they, freed from the delusive pairs of opposites, worship Me, steadfast in vows."
7:29:,"They who, refuged in Me, strive for liberation from birth and death, they know the Eternal, the whole SELF-knowledge, and all action."
7:30:,"They who know Me as the knowledge of the elements, as that of the Shining Ones, and as that of the Sacrifice, they harmonised in mind know Me verily even in the time of forthgoing."
8:1:,"Arjuna said: What is that Eternal, what Self-knowledge, what Action, O Purushottama? And what is declared to be the knowledge of the Elements, what is called the knowledge of the Shining Ones?"
8:2:,"What is the knowledge of Sacrifice in this body, and how, O Madhusudana? And how, at the time of forthgoing art Thou known by the SELF-controlled?"
8:3:,"The Blessed Lord said: The indestructible, the supreme is the Eternal; His essential nature is called Self-knowledge; the emanation that causes the birth of beings is named Action;"
8:4:,"Knowledge of the Elements concerns My perishable nature, and knowledge of the Shining Ones concerns the life-giving energy; the knowledge of Sacrifice tells of Me, as wearing the body, O best of living beings."
8:5:,"And he who, casting off the body, goeth forth thinking upon Me only at the time of the end, he entereth into My being: there is no doubt of that."
8:6:,"Whosoever at the end abandoneth the body, thinking upon any being, to that being only he goeth, O Kaunteya, ever to that conformed in nature."
8:7:,"Therefore at all times think upon Me only and fight. With mind and Reason set on Me, without doubt thou shalt come to Me."
8:8:,"With the mind not wandering after aught else, harmonised by continual practice, constantly meditating, O Pârtha, one goeth to the Spirit supreme, divine."
8:9:,"He who thinketh upon the Ancient, the Omniscient, the All-Ruler, minuter than the minute, the supporter of all, of form unimaginable, refulgent as the sun beyond the darkness,"
8:10:,"In the time of forthgoing, with unshaken Manas, fixed in devotion, by the power of Yoga drawing together his life-breath in the centre of the two eyebrows, he goeth to this Purusha, supreme, divine. "
8:11:,"That which is declared indestructible by the Veda-knowers, that which the controlled and passion-free enter, that desiring which Brahmacharya is performed, that path I will declare to thee with brevity. "
8:12:,"All the gates closed, Manas confined in the heart, the life-breath fixed in his own head, firm in Yoga, "
8:13:,"""Om!"" the one-syllabled Brahman, reciting, thinking upon Me, he who goeth forth, abandoning the body, he goeth to the highest goal. "
8:14:,"He who constantly thinketh upon Me, not thinking ever of another, of him I am easily reached, O Pârtha, of this ever harmonised Yogî. "
8:15:,"Having come to Me, these Mahâtmâs come not again to birth, the place of pain, non-eternal; they have gone to the highest bliss. "
8:16:,"The worlds, beginning with the world of Brahma, they come and go, O Arjuna; but he who cometh unto Me, O Kaunteya, he knoweth birth no more."
8:17:,"The people who know the day of Brahma, a thousand ages in duration, and the night, a thousand ages in ending, they know day and night."
8:18:,"From the unmanifested all the manifested stream forth at the coming of day; at the coming of night they dissolve, even in That called the unmanifested."
8:19:,"This multitude of beings, going forth repeatedly, is dissolved at the coming of night: by ordination, O Pârtha, it streams forth at the coming of day."
8:20:,"Therefore verily there existeth, higher than that unmanifested, another unmanifested, eternal, which, in the destroying of all beings, is not destroyed."
8:21:,"That unmanifested, ""the Indestructible,"" It is called; It is named the highest Path. They who reach It return not. That is My supreme abode."
8:22:,"He, the highest Spirit, O Pârtha, may be reached by unswerving devotion to Him alone, in whom all beings abide, by whom all This is pervaded."
8:23:,"That time wherein going forth Yogis return not, and also that wherein going forth they return, that time shall I declare to thee, O prince of the Bharatas."
8:24:,"Fire, light, day-time, the bright fortnight, the six months of the northern path—then, going forth, the men who know the Eternal go to the Eternal."
8:25:,"Smoke, night-time, the dark fortnight also, the six months of the southern path—then the Yogi, obtaining the moonlight, returneth."
8:26:,"Light and darkness, these are thought to be the world's everlasting paths; by the one he goeth who returneth not, by the other he who returneth again."
8:27:,"Knowing these paths, O Pârtha, the Yogi is nowise perplexed. Therefore in all times be firm in yoga, O Arjuna."
8:28:,"The fruit of meritorious deeds, attached in the Vedas to sacrifices, to austerities, and also to almsgiving, the Yogi passeth all these by having known this, and goeth to the supreme and ancient Seat."
9:1:,"The Blessed Lord said: To thee, the uncarping, verily shall I declare this profoundest Secret, wisdom with knowledge combined, which, having known, thou shalt be freed from evil."
9:2:,"Kingly Science, kingly Secret, supreme Purifier, this; intuitional, according to righteousness, very easy to perform, imperishable."
9:3:,"Men without faith in this knowledge, O Parantapa, not reaching Me, return to the path of this world of death."
9:4:,"By Me all this world is pervaded in My unmanifested aspect; all beings have root in Me, I am not rooted in them."
9:5:,"Nor have beings root in Me; behold My sovereign Yoga! The support of beings, yet not rooted in beings, My Self their efficient cause."
9:6:,"As the mighty air everywhere moving is rooted in the ether, so all beings rest rooted in Me — thus know thou."
9:7:,"All beings, O Kaunteya, enter my lower nature at the end of a world-age; at the beginning of a world-age again I emanate them."
9:8:,"Hidden in Nature, which is mine own, I emanate again and again all this multitude of beings, helpless, by the force of Nature."
9:9:,"Nor do these works bind me, O Dhananjaya, enthroned on high, unattached to actions."
9:10:,"Under Me as supervisor, Nature sends forth the moving and unmoving: because of this, O Kaunteya, the universe revolves."
9:11:,"The foolish disregard Me, when clad in human semblance, ignorant of My supreme nature, the great Lord of beings;"
9:12:,"Empty of hope, empty of deeds, empty of wisdom, senseless, partaking of the deceitful, brutal and demoniacal nature."
9:13:,"Verily the Mahatmas, O Partha, partaking of My divine nature, worship with unwavering mind, having known Me, the imperishable source of beings."
9:14:,"Always magnifying Me, strenuous, in vows, prostrating themselves before Me, they worship Me with devotion, ever harmonised."
9:15:,"Others also, sacrificing with the sacrifice of wisdom, worship Me as the One and the Manifold everywhere present."
9:16:,I the oblation; I the sacrifice; I the ancestral offering; I the fire-giving herb; the mantram I; I also the butter; I the fire; the burnt-offering I.
9:17:,"I the Father of this universe, the Mother, the Supporter, the Grandsire, the Holy One to be known, the Word of Power, and also the Rik, Sama, and Yajur,"
9:18:,"The Path, Husband, Lord, Witness, Abode, Shelter, Lover, Origin, Dissolution, Foundation, Treasure-house, Seed imperishable."
9:19:,"I give heat; I hold back and send forth the rain; immortality and also death, being and non-being am I, Arjuna."
9:20:,"The knowers of the three, the Soma-drinkers, the purified from sin, worshipping Me with sacrifice, pray of Me the way to heaven; they, ascending to the holy world of the Ruler of the Shining Ones, eat in heaven the divine feasts of the Shining Ones."
9:21:,"They, having enjoyed the spacious heaven world, their holiness withered, come back to this world of death. Following the virtues enjoined by the three, desiring desires, obtain the transitory."
9:22:,"To those men who worship Me alone thinking of no other, to those ever harmonious, I bring full security."
9:23:,"Even the devotees of other Shining Ones, who worship full of faith, they also worship Me, O son of Kunti, though contrary to the ancient rule."
9:24:,"I am indeed the enjoyer of all sacrifices and also the Lord, but they know Me not in Essence, and hence they fall."
9:25:,They who worship the Shining Ones go to the Shining Ones; to the Ancestors go the Ancestor-worshippers; to the Elementals go those who sacrifice to Elementals; but My worshippers come unto Me.
9:26:,"He who offereth to Me with devotion a leaf, a flower, a fruit, water, that I accept from the striving self, offered as it is with devotion."
9:27:,"Whatsoever thou doest, whatsoever thou eatest, whatsoever thou offerest, whatsoever thou givest, whatsoever thou doest of austerity, O Kaunteya, do thou that as an offering unto Me."
9:28:,"Thus shalt thou be liberated from the bonds of action, yielding good and evil fruits; thyself harmonised by the yoga of renunciation, thou shalt come unto Me when set free."
9:29:,"The same am I to all beings; there is none hateful to Me nor dear. They verily who worship Me with devotion, they are in Me, and I also in them."
9:30:,"Even if the most sinful worship Me, with undivided heart, he too must be accounted righteous, for he hath rightly resolved;"
9:31:,"Speedily he becometh dutiful and goeth to eternal peace, O Kaunteya, know thou for certain that My devotee perisheth never."
9:32:,"They who take refuge with Me, O Partha, though of the womb of sin, women, Vaishyas, even Shudras, they also tread the highest path."
9:33:,"How much rather then holy Brahmanas and devoted royal saints; having obtained this transient joyless world, worship thou Me."
9:34:,"On Me fix thy mind; be devoted to Me; sacrifice to Me; prostrate thyself before Me; harmonised thus in the Self, thou shalt come unto Me, having Me as thy supreme goal."
10:1:,"The Blessed Lord said: Again, O mighty-armed, hear thou My supreme word, that, desiring thy welfare, I will declare to thee who art beloved."
10:2:,"The multitude of the Shining Ones, or the great Rishis, know not my forthcoming, for I am the beginning of all the Shining Ones and the great Rishis."
10:3:,"He who knoweth Me, unborn, beginningless, the great Lord of the world, he, among mortals without delusion, is liberated from all sin."
10:4:,"Reason, wisdom, non-illusion, forgiveness, truth, self-restraint, calmness, pleasure, pain, existence, non-existence, fear, and also courage,"
10:5:,"Harmlessness, equanimity, content, austerity, almsgiving, fame and obloquy are the various characteristics of beings issuing from Me."
10:6:,"The seven great Rishis, the ancient Four, and also the Manus, were born of My nature and mind; of them this race was generated."
10:7:,"He who knows in essence that sovereignty and yoga of Mine, he is harmonised by unfaltering yoga; there is no doubt thereof."
10:8:,"I am the Generator of all; all evolves from Me; understanding thus, the wise adore Me in rapt emotion."
10:9:,"Mindful of Me, their life hidden in Me, illumining each other, ever conversing about Me, they are content and joyful."
10:10:,"To these, ever harmonious, worshipping in love, I give the yoga of discrimination by which they come unto Me."
10:11:,"Out of pure compassion for them, dwelling within their Self, I destroy the ignorance-born darkness by the shining lamp of wisdom."
10:12:,"Arjuna said: Thou art the supreme Eternal, the supreme Abode, the supreme Purity, eternal divine man, primeval Deity, unborn, the Lord!"
10:13:,"All the Rishis have thus acclaimed Thee, as also the divine Rishi, Narada; so Asita, Devala, and Vyasa; and now Thou Thyself tellest it me."
10:14:,"All this I believe true that Thou sayest to me, O Keshava. Thy manifestation, O Blessed Lord, neither Shining Ones nor Danavas comprehend."
10:15:,"Thyself indeed knowest Thyself by Thyself, O Purushottama! Source of beings, Lord of beings, Shining One of Shining Ones, Ruler of the world!"
10:16:,"Deign to tell without reserve of Thine own divine glories, by which glories Thou remainest pervading these worlds."
10:17:,"How may I know thee, O Yogi, by constant meditation? In what, in what aspects art Thou to be thought of by me, O blessed Lord?"
10:18:,"In detail tell me again of Thy yoga and glory, O Janardana; for me there is never satiety in hearing thy life-giving words."
10:19:,"The Blessed Lord said: Blessed be thou! I will declare to thee My divine glory by its chief characteristics, O best of the Kurus; there is no end to details of Me."
10:20:,"I, O Gudakesha, am the Self, seated in the heart of all beings; I am the beginning, the middle, and also the end of all beings."
10:21:,Of the Adityas I am Vishnu; of radiances the glorious sun; I am Marichi of the Maruts; of the asterisms the Moon am I.
10:22:,Of the Vedas I am the Sama-Veda; I am Vasava of the Shining Ones; and of the senses I am the mind; I am of living beings the intelligence.
10:23:,And of the Rudras Shankara am I; Vittesha of the Yakshas and Rakshasas; and of the Vasus I am Pavaka; Meru of high mountains am I.
10:24:,"And know Me, O Partha, of household priests the chief, Brihaspati; of generals I am Skanda; of lakes I am the ocean."
10:25:,Of the great Rishis Bhrigu; of speech I am the one syllable; of sacrifices I am the sacrifice of silent repetitions; of immovable things the Himalaya.
10:26:,Asvattha of all trees; and of divine Rishis Narada; of Gandharvas Chitraratha; of the perfected the Muni Kapila.
10:27:,"Uchchaishravas of horses know me, nectar-born; Airavata of lordly elephants, and among men the Monarch."
10:28:,Of weapons I am the thunderbolt; of cows I am Kamadhuk; I am Kandarpa of the progenitors; of serpents Vasuki am I.
10:29:,"And I am Ananta of Nagas, Varuna of sea-dwellers I; and of ancestors Aryaman; Yama of governors am I."
10:30:,And I am Prahlada of Daityas; of calculators Time am I; and of wild beasts the imperial beast; and Vainateya of birds.
10:31:,Of purifiers I am the wind; Rama of warriors I; and I am Makara of fishes; of streams the Ganga am I.
10:32:,"Of creations the beginning and the ending, and also the middle am I, O Arjuna. Of sciences the science concerning the Self; the speech of orators I."
10:33:,"Of letters the letter A I am, and the duality of a compound; I also everlasting Time; I the Supporter, whose face turns everywhere."
10:34:,"And all-devouring Death am I, and the origin of all to come; and of feminine qualities, fame, prosperity, speech, memory, intelligence, constancy, forgiveness."
10:35:,Of hymns also Brihatsaman; Gayatri of metres am I; of months I am Margashirsha; of seasons the flowery.
10:36:,"I am the gambling of the cheat, and the splendour of splendid things I; I am victory, I am determination, and the truth of the truthful I."
10:37:,Of the Vrishnis Vasudeva am I; of the Pandavas Dhananjaya; of the Sages also I am Vyasa; of poets Ushana the Bard.
10:38:,Of rulers I am the sceptre; of those that seek victory I am statesmanship; and of secrets I am also silence; the knowledge of knowers am I.
10:39:,"And whatsoever is the seed of all beings, that am I, O Arjuna; nor is there aught, moving or unmoving, that may exist bereft of Me."
10:40:,"There is no end of My divine powers, O Parantapa. What has been declared is illustrative of My infinite glory."
10:41:,"Whatsoever is glorious, good, beautiful, and mighty, understand thou that to go forth from a fragment of My splendour."
10:42:,"But what is the knowledge of all these details to thee, O Arjuna? Having pervaded this whole universe with one fragment of Myself, I remain."
11:1:,"Arjuna said: This word of the supreme Secret concerning the Self, Thou hast spoken out of compassion; by this my delusion is taken away."
11:2:,"The production and destruction of beings have been heard by me in detail from Thee, O Lotus-eyed, and also Thy imperishable greatness."
11:3:,"O supreme Lord, even as Thou describest Thyself, O best of beings, I desire to see Thy Form omnipotent."
11:4:,"If Thou thinkest that by me It can be seen, O Lord, Lord of Yoga, then show me Thine imperishable Self."
11:5:,"The Blessed Lord said: Behold, O Partha, a Form of Me, a hundredfold, a thousandfold, various in kind, divine, various in colours and shapes."
11:6:,"Behold the Adityas, the Vasus, the Rudras, the two Ashvins and also the Maruts; behold many marvels never seen ere this, O Bharata."
11:7:,"Here, to-day, behold the whole universe, movable and immovable, standing in one in My body, O Gudakesha, with aught else thou desirest to see."
11:8:,But verily thou art not able to behold Me with these thine eyes; the divine eye I give unto thee. Behold My sovereign Yoga.
11:9:,"Sanjaya said: Having thus spoken, O King, the great Lord of Yoga, Hari, showed to Partha His supreme Form as Lord."
11:10:,"With many mouths and eyes, with many visions of marvel, with many divine ornaments, with many upraised divine weapons;"
11:11:,"Wearing divine necklaces and vestures, anointed with divine unguents, the God all-marvellous, boundless, with face turned everywhere."
11:12:,"If the splendour of a thousand suns were to blaze out together in the sky, that might resemble the glory of that Mahatman."
11:13:,"There Pandava beheld the whole universe, divided into manifold parts, standing in one in the body of the Deity of Deities."
11:14:,"Then he, Dhananjaya, overwhelmed with astonishment, his hair upstanding, bowed down his head to the Shining One, and with joined palms spake."
11:15:,"Arjuna said: Within Thy Form, O God, the Gods I see, All grades of beings with distinctive marks; Brahma, the Lord, upon His lotus-throne, The Rishis all, and Serpents, the Divine."
11:16:,"With mouths, eyes, arms, breasts multitudinous, I see Thee everywhere, unbounded Form. Beginning, middle, end, nor source of Thee, Infinite Lord, infinite Form, I find;"
11:17:,"Shining, a mass of splendour everywhere, With discus, mace, tiara, I behold: Blazing as fire, as sun dazzling the gaze. From all sides in the sky, immeasurable."
11:18:,"Lofty beyond all thought, unperishing, Thou treasure-house supreme, all-immanent; Eternal Dharma’s changeless Guardian, Thou; As immemorial Man I think of Thee."
11:19:,"Nor source, nor midst, nor end; infinite force, Unnumbered arms, the sun and moon Thine eyes. I see Thy face, as sacrificial fire Blazing, its splendour burneth up the worlds."
11:20:,"By Thee alone are filled the earth, the heavens, And all the regions that are stretched between; The triple worlds sink down, O mighty One, Before Thine awful manifested Form."
11:21:,"To Thee the troops of Suras enter in, Some with joined palms in awe invoking Thee; Banded Maharshis, Siddhas, cry: ""All hail!"" Chanting Thy praises with resounding songs."
11:22:,"Rudras, Vasus, Sadhyas and Adityas, Vishvas, the Ashvins, Maruts, Ushmapas, Gandharvas, Yakshas, Siddhas, Asuras, In wondering multitudes beholding Thee."
11:23:,"Thy mighty Form, with many mouths and eyes, Long-armed, with thighs and feet innumerate, Vast-bosomed, set with many fearful teeth. The worlds see terror-struck, as also I."
11:24:,"Radiant, Thou touchest heaven, rainbow-hued, With opened mouths and shining vast-orbed eyes, My inmost self is quaking, having seen, My strength is withered, Vishnu, and my peace."
11:25:,"Like Time’s destroying flames I see Thy teeth, Upstanding, spread within expanded jaws; Nought know I anywhere, no shelter find. Mercy, O God! refuge of all the worlds!"
11:26:,"The sons of Dhritarashtra, and with them The multitude of all these kings of earth, Bhishma, and Drona, Suta’s royal son, And all the noblest warriors of our hosts,"
11:27:,"Into Thy gaping mouths they hurrying rush, Tremendous-toothed and terrible to see; Some caught within the gaps between Thy teeth Are seen, their heads to powder crushed and ground."
11:28:,"As river-floods impetuously rush, Hurling their waters into ocean’s lap, So fling themselves into Thy flaming mouths, In haste, these mighty men, these lords of earth."
11:29:,"As moths with quickened speed will headlong fly Into a flaming light, to fall destroyed, So also these, in haste precipitate, Enter within Thy mouths destroyed to fall."
11:30:,"On every side, all-swallowing, fiery-tongued, Thou lickest up mankind, devouring all; The glory filleth space: the universe Is burning, Vishnu, with Thy blazing rays."
11:31:,"Reveal Thy Self; what awful Form art Thou? I worship Thee! Have mercy, God supreme! Thine inner Being I am fain to know; This Thy forth-streaming Life bewilders me."
11:32:,"The Blessed Lord said: Time am I, laying desolate the world, Made manifest on earth to slay mankind! Not one of all these warriors ranged for strife Escapeth death; thou shalt alone survive."
11:33:,"Therefore stand up! win for thyself renown, Conquer thy foes, enjoy the wealth-filled realm. By Me they are already overcome. Be thou the outward cause, left-handed one."
11:34:,"Drona and Bhishma and Jayadratha, Karna, and all the other warriors here. Are slain by Me. Destroy them fearlessly. Fight! thou shalt crush thy rivals in the field."
11:35:,"Sanjaya said: Having heard these words of Keshava, he who weareth a diadem, with joined palms, quaking and prostrating himself, spake again to Krishna, stammering with fear, casting down his face."
11:36:,"Arjuna said: Hrishikesha! in Thy magnificence Rightly the world rejoiceth, hymning Thee; The Rakshasas to every quarter fly In fear; the hosts of Siddhas prostrate fall."
11:37:,"How should they otherwise, O loftiest Self! First Cause! Brahma Himself less great than Thou. Infinite, God of Gods, home of all worlds, Unperishing, Sat, Asat, That supreme!"
11:38:,"First of the Gods, most ancient Man Thou art, Supreme receptacle of all that lives; Knower and known, the dwelling-place on high; In Thy vast Form the universe is spread."
11:39:,"Thou art Vayu and Yama, Agni, moon, Varuna, Father, Grandsire of all; Hail, hail to Thee! a thousand times all hail! Hail unto Thee! again, again all hail!"
11:40:,"Prostrate in front of Thee, prostrate behind; Prostrate on every side to Thee, O All. In power boundless, measureless in strength, Thou holdest all: then Thou Thyself art All."
11:41:,"If, thinking Thee but friend, importunate, O Krishna! or O Yadava! O friend! I cried, unknowing of Thy majesty, And careless in the fondness of my love;"
11:42:,"If jesting, I irreverence showed to Thee, At play, reposing, sitting or at meals, Alone, O sinless One, or with my friends, Forgive my error, O Thou boundless One."
11:43:,"Father of worlds, of all that moves and stands, Worthier of reverence than the Guru’s self, There is none like to Thee. Who passeth Thee? Pre-eminent Thy power in all the worlds."
11:44:,"Therefore I fall before Thee; with my body I worship as it fitting; bless Thou me. As father with the son, as friend with friend, With the beloved as lover, bear with me."
11:45:,"I have seen that which none hath seen before. My heart is glad, yet faileth me for fear; Show me, O God, Thine other Form again — Mercy, O God of Gods, home of all worlds—"
11:46:,"Diademed, mace and discus in Thy hand. Again I fain would see Thee as before; Put on again Thy four-armed shape, O Lord, O thousand-armed, of forms innumerable."
11:47:,"The Blessed Lord said: Arjuna, by My favour thou hast seen, This loftiest Form by yoga’s self revealed! Radiant, all-penetrating, endless, first, That none except thyself hath ever seen."
11:48:,"Nor sacrifice, nor Vedas, alms, nor works, Nor sharp austerity, nor study deep. Can win the vision of this Form for man, Foremost of Kurus, thou alone hast seen."
11:49:,"Be not bewildered, be thou not afraid, Because thou hast beheld this awful Form; Cast fear away, and let thy heart rejoice; Behold again Mine own familiar shape."
11:50:,"Sanjaya said: Vasudeva, having thus spoken to Arjuna, again manifested His own Form, and consoled the terrified one, the Mahatman again assuming a gentle form."
11:51:,"Arjuna said: Beholding, again Thy gentle human Form, O Janardana, I am now collected, and am restored to my own nature."
11:52:,The Blessed Lord said: This Form of Mine beholden by thee is very hard to see. Verily the Shining Ones ever long to behold this form.
11:53:,"Nor can I be seen as thou hast seen Me by the Vedas, nor by austerities, nor by alms, or by offerings;"
11:54:,"But by devotion to Me alone I may thus be perceived, Arjuna, and known and seen in essence, and entered, O Parantapa."
11:55:,"He who doeth actions for Me, whose supreme good I am, My devotee, freed from attachment without hatred of any being, he cometh unto Me, O Pandava."
12:1:,"Arjuna said: Those devotees who ever harmonised worship Thee, and those also who worship the Indestructible, the Unmanifested, whether of these is the more learned in yoga?"
12:2:,"The Blessed Lord said: They who with mind fixed on Me ever harmonised worship Me, with faith supreme endowed, these, in My opinion, are best in yoga."
12:3:,"They who worship the Indestructible, the Ineffable, the Unmanifested, Omnipresent, and Unthinkable, the Unchanging, Immutable, Eternal,"
12:4:,"Restraining and subduing the senses, regarding everything equally, in the welfare of all rejoicing, these also come unto Me."
12:5:,The difficulty of those whose minds are set on the Unmanifested is greater; for the path of the Unmanifested is hard for the embodied to reach.
12:6:,"Those verily who, renouncing all actions in Me and intent on Me, worship meditating on Me, with whole-hearted yoga,"
12:7:,"These I speedily lift up from the ocean of death and existence, O Pârtha, their minds being fixed on Me."
12:8:,"Place thy mind in Me, into Me let thy Reason enter; then without doubt thou shalt abide in Me hereafter."
12:9:,"And if thou art not able firmly to fix thy mind on Me, then by the yoga of practice seek to reach Me, O Dhananjaya."
